Ativo	Data	Último (R$)	Var. Dia	Var. Sem	Var. Mês	Var. Ano	Var. 12M	Val. Mín	Val. Máx	Volume	Quantidade de ações	Empresa	Segmento	Idade	Catedoria_idade	Var. Dia (%)	Valor Inicial (R$)	Variação (R$)	Resultado	Var. Sem. (%)	Valor Inicial (R$)	Variação. Sem. (R$)	Resultado	Var. Mês (%)	Valor Inical (R$)	Variação (R$)	Resultado	Var. Ano (%)	Var. Incial (R$)	Variação (R$)	Resultado	Var. 12M(%)	Valor Inicial (R$)	Variação (R$)	Resultado
GOAU4	1/26/2024	10,08	0,59	3,28	-7,18	-7,18	-21,14	10,03	10,14	37,01 M	660.411.219	Metalúrgica Gerdau	Siderurgia	120	111-120 anos	0,0059	R$ 10,02	R$ 39.045.606,94	Subiu	0,0328	R$ 9,76	R$ 211.413.438,10	Subiu	-0,0718	10,86	-R$ 514.941.453,66	Desceu	-0,0718	R$ 10,86	-R$ 514.941.453,66	Desceu	-0,2114	R$ 12,78	-R$ 1.784.527.252,73	Desceu
CSAN3	1/26/2024	18,57	0,59	2,65	-4,08	-4,08	13,35	18,3	18,66	43,43 M	1.168.097.881	Cosan	Energia e Logística	19	11-20 anos	0,0059	R$ 18,46	R$ 127.229.653,18	Subiu	0,0265	R$ 18,09	R$ 559.987.148,30	Subiu	-0,0408	19,36	-R$ 922.660.934,24	Desceu	-0,0408	R$ 19,36	-R$ 922.660.934,24	Desceu	0,1335	R$ 16,38	R$ 2.554.764.549,01	Subiu
JBSS3	1/26/2024	24,34	0,57	2,48	-2,29	-2,29	17,29	24,17	24,56	40,71 M	1.134.986.472	JBS	Alimentos	68	61-70 anos	0,0057	R$ 24,20	R$ 156.573.285,43	Subiu	0,0248	R$ 23,75	R$ 668.534.498,50	Subiu	-0,0229	24,91	-R$ 647.452.225,65	Desceu	-0,0229	R$ 24,91	-R$ 647.452.225,65	Desceu	0,1729	R$ 20,75	R$ 4.072.351.589,18	Subiu
MGLU3	1/26/2024	2,08	0,48	2,46	-3,7	-3,7	-51,4	2,02	2,1	277,34 M	2.867.627.068	Magazine Luiza	Varejo	65	61-70 anos	0,0048	R$ 2,07	R$ 28.493.619,27	Subiu	0,0246	R$ 2,03	R$ 143.207.829,22	Subiu	-0,037	2,16	-R$ 229.171.940,97	Desceu	-0,0370	R$ 2,16	-R$ 229.171.940,97	Desceu	-0,514	R$ 4,28	-R$ 6.308.307.512,22	Desceu
BBDC3	1/26/2024	13,75	0,36	-0,72	-9,95	-9,95	15,78	13,67	13,9	45,86 M	1.500.728.902	Banco Bradesco	Banco	78	71-80 anos	0,0036	R$ 13,70	R$ 74.019.610,05	Subiu	-0,0072	R$ 13,85	-R$ 149.649.638,70	Desceu	-0,0995	15,27	-R$ 2.280.049.671,35	Desceu	-0,0995	R$ 15,27	-R$ 2.280.049.671,35	Desceu	0,1578	R$ 11,88	R$ 2.812.408.477,38	Subiu
GGBR4	1/26/2024	21,84	0,27	3,65	-8,08	-8,08	-26,1	21,7	21,94	109,02 M	1.118.525.506	Gerdau	Siderurgia	120	111-120 anos	0,0027	R$ 21,78	R$ 65.779.607,10	Subiu	0,0365	R$ 21,07	R$ 860.244.855,15	Subiu	-0,0808	23,76	-R$ 2.147.335.336,95	Desceu	-0,0808	R$ 23,76	-R$ 2.147.335.336,95	Desceu	-0,261	R$ 29,55	-R$ 8.627.691.245,36	Desceu
RAIZ4	1/26/2024	3,74	0,26	0	-7,2	-7,2	15,46	3,71	3,78	19,84 M	1.193.047.233	Raízen	Energia e Logística	9	0-10 anos	0,0026	R$ 3,73	R$ 11.571.106,42	Subiu	0	R$ 3,74	R$ 0,00	Estável	-0,072	4,03	-R$ 346.189.395,37	Desceu	-0,0720	R$ 4,03	-R$ 346.189.395,37	Desceu	0,1546	R$ 3,24	R$ 597.457.718,96	Subiu
CPLE6	1/26/2024	10,07	0,19	0,9	-2,8	-2,8	32,08	9,96	10,13	97,05 M	1.679.335.290	Copel	Energia Elétrica	68	61-70 anos	0,0019	R$ 10,05	R$ 32.069.789,50	Subiu	0,009	R$ 9,98	R$ 150.840.592,00	Subiu	-0,028	10,36	-R$ 487.145.451,00	Desceu	-0,0280	R$ 10,36	-R$ 487.145.451,00	Desceu	0,3208	R$ 7,62	R$ 4.107.373.382,49	Subiu
VAMO3	1/26/2024	8,18	0,12	-3,76	-18,77	-18,77	-40,74	8,11	8,27	41,64 M	421.383.330	Grupo Vamos	Logística	52	51-60 anos	0,0012	R$ 8,17	R$ 4.131.341,16	Subiu	-0,0376	R$ 8,50	-R$ 134.667.527,06	Desceu	-0,1877	10,07	-R$ 796.486.600,41	Desceu	-0,1877	R$ 10,07	-R$ 796.486.600,41	Desceu	-0,4074	R$ 13,80	-R$ 2.369.681.794,62	Desceu
MRFG3	1/26/2024	9,74	0	5,3	0,41	0,41	17,99	9,61	9,86	39,65 M	331.799.687	Marfrig	Alimentos	12	11-20 anos	0	R$ 9,74	R$ 0,00	Estável	0,053	R$ 9,25	R$ 162.660.621,48	Subiu	0,0041	9,70	R$ 13.195.985,16	Subiu	0,0041	R$ 9,70	R$ 13.195.985,16	Subiu	0,1799	R$ 8,25	R$ 492.743.485,34	Subiu
